wine_id,wine_name,category,wine_type,allocation,expected_supplier,alternate_supplier,nv_allowed
W-01,Cabernet Sauvignon Oakville,still,stock,,Napa Ridge Imports,,N
W-02,Pauillac Grand Cru,still,futures,open,Bordeaux Negoce,Left Bank Brokers,N
W-03,Pinot Noir Dundee Hills,still,stock,,Willamette Partners,,N
W-04,Champagne Brut Reserve,sparkling,stock,,Reims Cellars,,Y
W-05,Merlot Carneros,still,stock,,Napa Ridge Imports,,N
W-06,Riesling Kabinett,still,stock,,Mosel Handel,,N
W-07,Prosecco Superiore,sparkling,stock,,Tuscan Vines,,N
W-08,Rioja Reserva,still,stock,,Rioja Direct,,N
W-09,Tawny Port 10 Year,fortified,stock,,Douro Trading,,Y
W-10,Shiraz Barossa,still,stock,,Barossa Exports,,N
W-11,Chianti Classico,still,stock,,Tuscan Vines,,N
W-12,Sancerre,still,stock,,Loire Direct,,N
W-13,Barolo,still,stock,,Tuscan Vines,,N
W-14,Vintage Port,fortified,stock,,Douro Trading,,Y
W-15,Cava Brut,sparkling,stock,,Rioja Direct,,Y
W-16,Gruner Veltliner,still,stock,,Mosel Handel,,N
W-17,Sauternes,still,futures,closed,Bordeaux Negoce,Left Bank Brokers,N
W-18,Margaux,still,futures,open,Bordeaux Negoce,Left Bank Brokers,N
W-19,Pomerol,still,stock,,Bordeaux Negoce,Left Bank Brokers,N
W-20,Sekt Riesling,sparkling,stock,,Mosel Handel,,Y
W-21,Zinfandel Lodi,still,stock,,Napa Ridge Imports,,N
W-22,Malbec Reserve,still,stock,,Mendoza Andes SA,,N
W-23,Tempranillo Crianza,still,stock,,Rioja Direct,,N
W-24,Cremant de Loire,sparkling,stock,,Loire Direct,,Y
W-25,Madeira 5 Year,fortified,stock,,Douro Trading,,Y
W-26,Chenin Blanc Stellenbosch,still,stock,,Cape Winelands Ltd,,N
W-27,Brunello di Montalcino,still,Futures,open,Tuscan Vines,,N
W-28,Saint-Julien,still,futures,closed,Bordeaux Negoce,Left Bank Brokers,N
W-29,Fino Sherry,fortified,stock,,Rioja Direct,,Y
W-30,Pinotage Reserve,still,stock,,Cape Winelands Ltd,,N
W-31,Lambrusco Secco,sparkling,stock,,Tuscan Vines,,Y
W-32,Syrah Paso Robles,still,stock,,Napa Ridge Imports,,N
W-33,Albarino Rias Baixas,still,stock,,Rioja Direct,,N
W-34,Hermitage,still,futures,open,Bordeaux Negoce,Left Bank Brokers,N
W-35,Vouvray Sec,still,stock,,Loire Direct,,N
W-36,Torrontes Salta,still,stock,,Mendoza Andes SA,,N
