review_check,status,review_notes,change_made,what_to_record
Layer 1 · Package consistency,FIXED_AND_VERIFIED,"task.toml, instruction.md, submission_format.md and tests/manifest.json name the same two deliverables (offer_evaluation.csv, results.json). Mined package shipped only tests/verifier.json (no tests/manifest.json, which the delivery format requires); gold, golden_trajectory.json and verifier expected values were three hand-kept copies of one answer; evaluations/ held oracle/ and nop/.","Added tests/manifest.json as an identical mirror of tests/verifier.json (the accepted bundles ship both; the graders load verifier.json), regenerated by compute_gold.py in the same run. Added solution/compute_gold.py which regenerates solution/files, golden_trajectory.json and the manifest expected values from environment/input in one run. Removed evaluations/oracle and evaluations/nop. Dropped the stale consistency/ folder from the bundle.","Re-ran compute_gold.py, replayed gold through tests/score.py (1.0, 6/6) and tests/test_outputs.py (12 lanes green); oracle harbor jobs oracle-b7a4-r1 and oracle-b7a4-r2 (final graded files) reward 1.0; final oracle oracle-b7a4-final after the manifest mirror was added."
Layer 1 · Clarity and scope,FIXED_AND_VERIFIED,"Cold read produced five guesses (whose clock for cutoff, fee taxed or not, rounding order, is 10 ft exact, precedence on double failure); each is settled by an explicit clause in same_day_terms.md. Instruction rewritten to name the new inputs (stock ledger, notices, tax table) in natural voice, 175 words, no paths, no method, no counts. The round 3 data shapes (length column with units, repeated export line, till-case codes) are each covered by the format doc (one row per offer keyed by offer_id) or a terms clause (case not significant; length as the listings give it).","instruction.md paragraph rewritten; same_day_terms.md S1 defines the store order instant, S2 defines effective stock, NO_STOCK and case-insensitive codes, S4 refers length and conductor to the data sheet, S6 defines destination-based tax and half-cent-up rounding; submission_format.md allowed values gained NO_STOCK.","Re-read instruction, terms, data sheet and format side by side after each edit; every reason code in the gold appears in the format doc. Failure classification over the 8 round-3 runs: all 4 failures are one MODEL cause (repeated OF-08 export line emitted twice, count 9), none ambiguity; the 4 passing runs each noticed the duplicate in their own analysis before writing."
Layer 1 · Realism and leakage,PASS,"Prompt states no totals, counts, thresholds or method; verifier names never enter the image (Dockerfile copies input/ only). Kestrel, stores and rates are fictional; the Columbus GA / Phenix City AL state-line timezone split is real geography. Warehouse ledger conventions (unsigned qty, supplier part codes, till-case codes, repeated export line), EU-import metric listings and manager notices are ordinary retail data shapes. standard_delivery.md is a realistic distractor.",,"Grepped instruction.md and input/ for the gold figures (8, OF-21, 18.62): none present outside the computed rows; checked Dockerfile COPY lines."
Layer 2 Difficulty,FIXED_AND_VERIFIED,"Mined baseline GLM-5.2 battery 4/4 (job glm-b7a4-baseline, commit b41f537): eight independent rules, one trap, STOCK_RESERVE and tie-breaks never firing. Round 1 (ledger, destination tax, tie) 4/4 (job glm-b7a4-r1). Round 2 (warehouse ledger, notices, stale store row, half-up rounding) 3/4 locally (job glm-b7a4-r2) but 4/4 on the QC platform's own battery, rejected as difficulty_too_easy: every scripted run coded every explicit rule correctly. Round 3 (data shape: unit-bearing lengths, repeated export line, till-case codes, conductor tiers) 4/8 locally (job glm-b7a4-r3, -k 8; rewards by start 1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0). Shipped the first four by start time: 2/4, evaluations/difficulty/r1..r4/verifier/reward.json (r1 FmDxrr6 0.0, r2 jWv5Q6m 1.0, r3 pBuguR7 0.0, r4 srLMHNj 1.0). All four failures: MODEL, the repeated OF-08 line emitted as two rows and counted twice.","Round 1: stock_ledger.csv, tax_jurisdictions.csv, sixth store creating a same-cent tie, precedence edge SKUs/offers. Round 2: unsigned ledger qty with event direction and VOID, supplier-part aliases, prior-day lines inside OPENING, store_notices.md overriding cutoff and pausing a method, duplicate ST-23 row with effective_from, fit thresholds in power_supply_spec.md, half-cent-up rounding on the chosen offer. Round 3: catalogue length column with units and two metric EU imports (the 3.7 m cord is the chosen offer via a three-way tie), one repeated export line in same_day_offers.csv, two lower-case ledger codes with a terms clause, 16 AWG tier over 15 ft. Gold regenerated each round by compute_gold.py.","Oracle 1.0 after every round (oracle-b7a4-r1, -r2, -r3); fresh GLM-5.2 batteries from clean containers per version (baseline 4/4, r1 4/4, r2 3/4 local and 4/4 platform, r3 4/8 local); every failing run's score.json and trajectory read in full and classified; twelve wrong-answer probes replayed against the verifier, each 0.0."
Layer 2 Solvability,PASS,"evaluations/solvability/r1 is a copy of difficulty/r2, harbor trial task__jWv5Q6m (GLM-5.2, terminus-2 harness), reward 1.0, not an oracle. Four of eight round-3 GLM runs reached 1.0.",,"Read solvability/r1/verifier/reward.json and result.json (model GLM-5.2, overall_pass true, final_answer 8 / OF-21 / 18.62)."
Layer 2 Stability,PASS,Turing runs this.,,Turing runs stability.
Layer 3 Oracle Mode,FIXED_AND_VERIFIED,Mined package's shipped oracle evidence 1.0 (2026-09-20) reproduced by a local engine replay. Gold changed in each hardening round so the oracle assets had to be regenerated; solve.sh still installs solution/files and emits the ATIF trajectory.,"solution/files/*, solution/golden_trajectory.json and tests/verifier.json + tests/manifest.json expected values regenerated by solution/compute_gold.py after every change.","Oracle re-run after each round and after the packaging changes: harbor jobs oracle-b7a4-r1, oracle-b7a4-r2, oracle-b7a4-final (manifest mirror), oracle-b7a4-r3 (digest-pinned image, round 3 gold), all reward 1.0; local engine replay 1.0 and 12 test_outputs.py lanes green."
Layer 4 · Environment and files,FIXED_AND_VERIFIED,"Dockerfile: python 3.12 slim, pinned engine deps, COPY input/ only, chmod a-w on /app/input; no network needed at run time. All ten files the instruction refers to exist in environment/input. Delivery Gate PreQC on the first upload raised QC1-2 (FROM python:3.12-slim-bookworm is a mutable tag) and QC1-3 (tests/test.sh had CRLF endings in a zip built from a Windows checkout with autocrlf; the repository file is LF).",FROM pinned to the image's immutable index digest python@sha256:392307d22300de8b5986851a12d9176dfc0fc073e65bf6523ebd7dcbeb23564e (the digest the tag resolved to). Added .gitattributes forcing LF on every text file and a CRLF-to-LF normalisation plus a digest check in tools/make_zip.sh.,"Oracle re-run on the rebuilt image (harbor job oracle-b7a4-r3, reward 1.0) and the 8-run GLM battery built from it; PreQC on the corrected zip no longer reported QC1-2 or QC1-3."
"Layer 4 · Connectors, MCPs, and CLIs",N/A,"Non-connector task: task.toml mcp_servers = [], no environment/_app mirror, no connector manifest.",,
Layer 4 · Deliverables and artifact quality,PASS,"Two deliverables, both plain (CSV with pinned header, JSON with closed key set). submission_format.md pins header, allowed values (incl. NO_STOCK), number rendering and gives placeholder examples. Gold files conform.",,"Replayed gold through the engine (header regex, table_equals, object_equals all pass); checked landed_cost_usd is empty on ineligible rows and two-decimal on eligible ones."
